"","Urban","Forest","Plot","a"
"1","rural","Barlow",2,157671.24107
"2","rural","Barlow",3,120906.666667
"3","rural","Barlow",9,294921.99473
"4","rural","Barlow",10,30349.999997
"5","rural","Barlow",11,32075
"6","rural","Barlow",14,583542.812733
"7","rural","Barlow",16,78018.33333
"8","rural","Barlow",25,37880
"9","rural","Barlow",26,635057.81273
"10","rural","Barlow",98,18270
"11","rural","Barlow",114,101600
"12","rural","Barlow",115,0
"13","rural","Barlow",114,0
"14","rural","Barlow",113,0
"15","rural","McIver",16,23733.333337
"16","rural","McIver",20,112779.999997
"17","rural","McIver",24,238166.66666
"18","rural","McIver",25,318421.99473
"19","rural","McIver",38,4993.333333
"20","rural","McIver",40,1244049.469
"21","rural","McIver",41,60823.33334
"22","rural","McIver",44,0
"23","rural","McIver",70,0
"24","rural","McIver",90,325412.792403
"25","rural","McIver",91,0
"26","rural","McIver",90,0
"27","rural","Oxbow",12,699777.8262
"28","rural","Oxbow",13,1649050.109
"29","rural","Oxbow",33,109702
"30","rural","Oxbow",35,0
"31","rural","Oxbow",36,28980
"32","rural","Oxbow",37,453388.8556
"33","rural","Oxbow",38,54753.333333
"34","rural","Oxbow",41,7500
"35","rural","Oxbow",46,5893.333333
"36","rural","Oxbow",48,0
"37","rural","Oxbow",49,0
"38","rural","Oxbow",48,0
"39","rural","Sandy",19,42533.33333
"40","rural","Sandy",26,14400
"41","rural","Sandy",53,52176.666667
"42","rural","Sandy",95,81266.66666
"43","rural","Sandy",122,53050
"44","rural","Sandy",136,58086.666667
"45","rural","Sandy",141,59843.333334
"46","rural","Sandy",143,537822.567166
"47","rural","Sandy",176,565869.06584
"48","rural","Sandy",182,23120
"49","rural","Sandy",183,0
"50","rural","Sandy",182,0
"51","rural","Wildwood",1,12160
"52","rural","Wildwood",2,367045.70053
"53","rural","Wildwood",3,0
"54","rural","Wildwood",4,18490.000003
"55","rural","Wildwood",5,44933.33333
"56","rural","Wildwood",6,591517.56717
"57","rural","Wildwood",7,698998.98447
"58","rural","Wildwood",8,1074640.565
"59","rural","Wildwood",9,733132.8262
"60","rural","Wildwood",10,39750
"61","rural","Wildwood",11,0
"62","rural","Wildwood",10,0
"63","urban","FP",4,211682.7924
"64","urban","FP",14,64480
"65","urban","FP",15,49140
"66","urban","FP",18,0
"67","urban","FP",31,13400
"68","urban","FP",43,0
"69","urban","FP",44,12000
"70","urban","FP",46,51140
"71","urban","FP",48,45711.666663
"72","urban","FP",144,19207
"73","urban","FP",145,0
"74","urban","FP",144,0
"75","urban","Lacamas",3,325459.033867
"76","urban","Lacamas",7,0
"77","urban","Lacamas",11,31680
"78","urban","Lacamas",19,16226.666667
"79","urban","Lacamas",21,25895
"80","urban","Lacamas",24,120853.3333
"81","urban","Lacamas",33,2676.666667
"82","urban","Lacamas",39,50476.666667
"83","urban","Lacamas",41,94081.24107
"84","urban","Lacamas",47,13793.333333
"85","urban","Lacamas",48,0
"86","urban","Lacamas",47,0
"87","urban","Marquam",1,11560
"88","urban","Marquam",2,15536.666667
"89","urban","Marquam",6,18601.66667
"90","urban","Marquam",9,178376.0599
"91","urban","Marquam",12,428450.893266
"92","urban","Marquam",18,77753.0918
"93","urban","Marquam",19,7066.666667
"94","urban","Marquam",20,2533.333333
"95","urban","Marquam",30,3540
"96","urban","Marquam",31,7350
"97","urban","Marquam",32,0
"98","urban","Marquam",31,0
"99","urban","RVNA",1,43967.955156
"100","urban","RVNA",5,20358.333337
"101","urban","RVNA",6,5376.666667
"102","urban","RVNA",10,654312.821433
"103","urban","RVNA",11,1249686.56787
"104","urban","RVNA",15,12378.333334
"105","urban","RVNA",17,41036
"106","urban","RVNA",18,384053.6216
"107","urban","RVNA",20,12760
"108","urban","RVNA",29,300221.994733
"109","urban","RVNA",30,0
"110","urban","RVNA",29,0
"111","urban","Tryon",1,2566.666667
"112","urban","Tryon",11,40816.666667
"113","urban","Tryon",13,395908.297633
"114","urban","Tryon",15,87560
"115","urban","Tryon",18,240456.00208
"116","urban","Tryon",20,29366.66667
"117","urban","Tryon",21,28670
"118","urban","Tryon",27,127533.333333
"119","urban","Tryon",39,1705
"120","urban","Tryon",40,39087.999997
"121","urban","Tryon",41,0
"122","urban","Tryon",40,0
