"","Urban","Forest","Plot","a"
"1","rural","Barlow",2,49000
"2","rural","Barlow",9,294921.99473
"3","rural","Barlow",10,6516.666667
"4","rural","Barlow",11,18375
"5","rural","Barlow",14,20920
"6","rural","Barlow",16,44100
"7","rural","Barlow",26,16093.33333
"8","rural","Barlow",114,6600
"9","rural","Barlow",115,0
"10","rural","Barlow",116,0
"11","rural","McIver",24,102583.33333
"12","rural","McIver",25,0
"13","rural","McIver",26,0
"14","rural","McIver",27,0
"15","rural","McIver",28,0
"16","rural","McIver",29,0
"17","rural","McIver",30,0
"18","rural","McIver",31,0
"19","rural","McIver",32,0
"20","rural","McIver",33,0
"21","rural","Oxbow",36,15146.66667
"22","rural","Oxbow",37,16875
"23","rural","Oxbow",38,0
"24","rural","Oxbow",39,0
"25","rural","Oxbow",40,0
"26","rural","Oxbow",41,0
"27","rural","Oxbow",42,0
"28","rural","Oxbow",43,0
"29","rural","Oxbow",44,0
"30","rural","Oxbow",45,0
"31","rural","Sandy",26,12100
"32","rural","Sandy",141,30550
"33","rural","Sandy",143,525610.9005
"34","rural","Sandy",144,0
"35","rural","Sandy",145,0
"36","rural","Sandy",146,0
"37","rural","Sandy",147,0
"38","rural","Sandy",148,0
"39","rural","Sandy",149,0
"40","rural","Sandy",150,0
"41","rural","Wildwood",2,347845.70053
"42","rural","Wildwood",5,23400
"43","rural","Wildwood",6,525610.9005
"44","rural","Wildwood",7,513551.396
"45","rural","Wildwood",9,20800
"46","rural","Wildwood",10,0
"47","rural","Wildwood",11,0
"48","rural","Wildwood",12,0
"49","rural","Wildwood",13,0
"50","rural","Wildwood",14,0
"51","urban","FP",31,6200
"52","urban","FP",46,37500
"53","urban","FP",144,16750
"54","urban","FP",145,0
"55","urban","FP",146,0
"56","urban","FP",147,0
"57","urban","FP",148,0
"58","urban","FP",149,0
"59","urban","FP",150,0
"60","urban","FP",151,0
"61","urban","Lacamas",21,19895
"62","urban","Lacamas",47,3553.333333
"63","urban","Lacamas",48,0
"64","urban","Lacamas",49,0
"65","urban","Lacamas",50,0
"66","urban","Lacamas",51,0
"67","urban","Lacamas",52,0
"68","urban","Lacamas",53,0
"69","urban","Lacamas",54,0
"70","urban","Lacamas",55,0
"71","urban","Marquam",9,170956.0599
"72","urban","Marquam",10,0
"73","urban","Marquam",11,0
"74","urban","Marquam",12,0
"75","urban","Marquam",13,0
"76","urban","Marquam",14,0
"77","urban","Marquam",15,0
"78","urban","Marquam",16,0
"79","urban","Marquam",17,0
"80","urban","Marquam",18,0
"81","urban","RVNA",1,4023.333333
"82","urban","RVNA",15,5476.666667
"83","urban","RVNA",17,17920
"84","urban","RVNA",18,384053.6216
"85","urban","RVNA",19,0
"86","urban","RVNA",20,0
"87","urban","RVNA",21,0
"88","urban","RVNA",22,0
"89","urban","RVNA",23,0
"90","urban","RVNA",24,0
"91","urban","Tryon",13,5833.333333
"92","urban","Tryon",18,186131.5557
"93","urban","Tryon",20,4260
"94","urban","Tryon",21,0
"95","urban","Tryon",22,0
"96","urban","Tryon",23,0
"97","urban","Tryon",24,0
"98","urban","Tryon",25,0
"99","urban","Tryon",26,0
"100","urban","Tryon",27,0
