"","SiteName","Urban","PlotID","CONg"
"1","Barlow","rural",1,17
"2","Barlow","rural",25,11
"3","Barlow","rural",24,9
"4","Barlow","rural",3,5
"5","Barlow","rural",11,5
"6","Barlow","rural",2,3
"7","Barlow","rural",7,2
"8","Barlow","rural",20,1
"9","Barlow","rural",30,1
"10","Barlow","rural",4,0
"11","Barlow","rural",10,0
"12","Barlow","rural",13,0
"13","Barlow","rural",14,0
"14","Barlow","rural",16,0
"15","Barlow","rural",27,0
"16","ForestPark","urban",36,8
"17","ForestPark","urban",15,4
"18","ForestPark","urban",45,3
"19","ForestPark","urban",11,2
"20","ForestPark","urban",3,0
"21","ForestPark","urban",8,0
"22","ForestPark","urban",12,0
"23","ForestPark","urban",13,0
"24","ForestPark","urban",14,0
"25","ForestPark","urban",150,0
"26","ForestPark","urban",19,0
"27","ForestPark","urban",24,0
"28","ForestPark","urban",30,0
"29","ForestPark","urban",40,0
"30","ForestPark","urban",49,0
"31","Lacamas","urban",14,3
"32","Lacamas","urban",43,1
"33","Lacamas","urban",7,0
"34","Lacamas","urban",8,0
"35","Lacamas","urban",10,0
"36","Lacamas","urban",12,0
"37","Lacamas","urban",13,0
"38","Lacamas","urban",17,0
"39","Lacamas","urban",20,0
"40","Lacamas","urban",21,0
"41","Lacamas","urban",29,0
"42","Lacamas","urban",35,0
"43","Lacamas","urban",39,0
"44","Lacamas","urban",47,0
"45","Lacamas","urban",50,0
"46","Marquam","urban",5,1
"47","Marquam","urban",1,0
"48","Marquam","urban",4,0
"49","Marquam","urban",6,0
"50","Marquam","urban",10,0
"51","Marquam","urban",11,0
"52","Marquam","urban",14,0
"53","Marquam","urban",22,0
"54","Marquam","urban",25,0
"55","Marquam","urban",31,0
"56","Marquam","urban",32,0
"57","Marquam","urban",35,0
"58","Marquam","urban",47,0
"59","Marquam","urban",48,0
"60","Marquam","urban",50,0
"61","McIver","rural",41,12
"62","McIver","rural",51,11
"63","McIver","rural",3,5
"64","McIver","rural",12,5
"65","McIver","rural",75,5
"66","McIver","rural",57,4
"67","McIver","rural",31,3
"68","McIver","rural",15,2
"69","McIver","rural",26,2
"70","McIver","rural",5,1
"71","McIver","rural",18,1
"72","McIver","rural",63,1
"73","McIver","rural",20,0
"74","McIver","rural",56,0
"75","McIver","rural",61,0
"76","Oxbow","rural",47,12
"77","Oxbow","rural",48,4
"78","Oxbow","rural",18,2
"79","Oxbow","rural",12,1
"80","Oxbow","rural",28,1
"81","Oxbow","rural",29,1
"82","Oxbow","rural",40,1
"83","Oxbow","rural",45,1
"84","Oxbow","rural",46,1
"85","Oxbow","rural",10,0
"86","Oxbow","rural",11,0
"87","Oxbow","rural",32,0
"88","Oxbow","rural",35,0
"89","Oxbow","rural",38,0
"90","Oxbow","rural",43,0
"91","Riverview","urban",15,6
"92","Riverview","urban",25,2
"93","Riverview","urban",30,2
"94","Riverview","urban",91,1
"95","Riverview","urban",20,1
"96","Riverview","urban",21,1
"97","Riverview","urban",2,0
"98","Riverview","urban",4,0
"99","Riverview","urban",5,0
"100","Riverview","urban",6,0
"101","Riverview","urban",7,0
"102","Riverview","urban",11,0
"103","Riverview","urban",18,0
"104","Riverview","urban",90,0
"105","Riverview","urban",24,0
"106","Sandy","rural",82,3
"107","Sandy","rural",159,2
"108","Sandy","rural",26,0
"109","Sandy","rural",48,0
"110","Sandy","rural",53,0
"111","Sandy","rural",80,0
"112","Sandy","rural",83,0
"113","Sandy","rural",95,0
"114","Sandy","rural",111,0
"115","Sandy","rural",122,0
"116","Sandy","rural",128,0
"117","Sandy","rural",136,0
"118","Sandy","rural",141,0
"119","Sandy","rural",176,0
"120","Sandy","rural",181,0
"121","Tryon","urban",27,2
"122","Tryon","urban",31,1
"123","Tryon","urban",1,0
"124","Tryon","urban",8,0
"125","Tryon","urban",13,0
"126","Tryon","urban",15,0
"127","Tryon","urban",16,0
"128","Tryon","urban",18,0
"129","Tryon","urban",21,0
"130","Tryon","urban",23,0
"131","Tryon","urban",28,0
"132","Tryon","urban",29,0
"133","Tryon","urban",30,0
"134","Tryon","urban",36,0
"135","Tryon","urban",40,0
"136","Wildwood","rural",24,10
"137","Wildwood","rural",40,7
"138","Wildwood","rural",35,2
"139","Wildwood","rural",87,2
"140","Wildwood","rural",18,1
"141","Wildwood","rural",1,0
"142","Wildwood","rural",3,0
"143","Wildwood","rural",23,0
"144","Wildwood","rural",37,0
"145","Wildwood","rural",61,0
"146","Wildwood","rural",67,0
"147","Wildwood","rural",69,0
"148","Wildwood","rural",74,0
"149","Wildwood","rural",83,0
"150","Wildwood","rural",88,0
