"","Urban","Forest","Plot","a"
"1","rural","Barlow",2,157671.24107
"2","rural","Barlow",3,120906.666667
"3","rural","Barlow",9,294921.99473
"4","rural","Barlow",10,30349.999997
"5","rural","Barlow",11,32075
"6","rural","Barlow",14,583542.812733
"7","rural","Barlow",16,78018.33333
"8","rural","Barlow",26,635057.81273
"9","rural","Barlow",98,18270
"10","rural","Barlow",114,101600
"11","rural","McIver",16,23733.333337
"12","rural","McIver",20,112779.999997
"13","rural","McIver",24,238166.66666
"14","rural","McIver",25,318421.99473
"15","rural","McIver",38,4993.333333
"16","rural","McIver",40,1244049.469
"17","rural","McIver",41,60823.33334
"18","rural","McIver",44,0
"19","rural","McIver",70,0
"20","rural","McIver",90,325412.792403
"21","rural","Oxbow",12,699777.8262
"22","rural","Oxbow",13,1649050.109
"23","rural","Oxbow",33,109702
"24","rural","Oxbow",35,0
"25","rural","Oxbow",36,28980
"26","rural","Oxbow",37,453388.8556
"27","rural","Oxbow",38,54753.333333
"28","rural","Oxbow",41,7500
"29","rural","Oxbow",46,5893.333333
"30","rural","Oxbow",48,0
"31","rural","Sandy",19,42533.33333
"32","rural","Sandy",26,14400
"33","rural","Sandy",53,52176.666667
"34","rural","Sandy",95,81266.66666
"35","rural","Sandy",122,53050
"36","rural","Sandy",136,58086.666667
"37","rural","Sandy",141,59843.333334
"38","rural","Sandy",143,537822.567166
"39","rural","Sandy",176,565869.06584
"40","rural","Sandy",182,23120
"41","rural","Wildwood",1,12160
"42","rural","Wildwood",2,367045.70053
"43","rural","Wildwood",3,0
"44","rural","Wildwood",4,18490.000003
"45","rural","Wildwood",5,44933.33333
"46","rural","Wildwood",6,591517.56717
"47","rural","Wildwood",7,698998.98447
"48","rural","Wildwood",8,1074640.565
"49","rural","Wildwood",9,733132.8262
"50","rural","Wildwood",10,39750
"51","urban","FP",4,211682.7924
"52","urban","FP",14,64480
"53","urban","FP",15,49140
"54","urban","FP",18,0
"55","urban","FP",31,13400
"56","urban","FP",43,0
"57","urban","FP",44,12000
"58","urban","FP",46,51140
"59","urban","FP",48,45711.666663
"60","urban","FP",144,19207
"61","urban","Lacamas",3,325459.033867
"62","urban","Lacamas",7,0
"63","urban","Lacamas",11,31680
"64","urban","Lacamas",19,16226.666667
"65","urban","Lacamas",21,25895
"66","urban","Lacamas",24,120853.3333
"67","urban","Lacamas",33,2676.666667
"68","urban","Lacamas",39,50476.666667
"69","urban","Lacamas",41,94081.24107
"70","urban","Lacamas",47,13793.333333
"71","urban","Marquam",1,11560
"72","urban","Marquam",2,15536.666667
"73","urban","Marquam",6,18601.66667
"74","urban","Marquam",9,178376.0599
"75","urban","Marquam",12,428450.893266
"76","urban","Marquam",18,77753.0918
"77","urban","Marquam",19,7066.666667
"78","urban","Marquam",20,2533.333333
"79","urban","Marquam",30,3540
"80","urban","Marquam",31,7350
"81","urban","RVNA",1,43967.955156
"82","urban","RVNA",5,20358.333337
"83","urban","RVNA",6,5376.666667
"84","urban","RVNA",10,654312.821433
"85","urban","RVNA",11,1249686.56787
"86","urban","RVNA",15,12378.333334
"87","urban","RVNA",17,41036
"88","urban","RVNA",18,384053.6216
"89","urban","RVNA",20,12760
"90","urban","RVNA",29,300221.994733
"91","urban","Tryon",1,2566.666667
"92","urban","Tryon",11,40816.666667
"93","urban","Tryon",13,395908.297633
"94","urban","Tryon",15,87560
"95","urban","Tryon",18,240456.00208
"96","urban","Tryon",20,29366.66667
"97","urban","Tryon",21,28670
"98","urban","Tryon",27,127533.333333
"99","urban","Tryon",39,1705
"100","urban","Tryon",40,39087.999997
