SorterName,SiteName,ID,Urban,Species,Type,Number,,,,,
Kacie,Barlow,B09,0,PSME,Seed,1,,,,,
Kacie,Barlow,B09,0,THPL,Seed,37,,,,,
Kacie,Barlow,B09,0,ACMA,Seed,1,,,,,
Kacie,Barlow,B09,0,ALRU,Seed,44,,,,,
Kacie,Barlow,B09,0,ALRU,Cone,4,,,,,
Kacie,Barlow,B010,0,PSME,Seed,5,,,,,
Kacie,Barlow,B010,0,THPL,Seed,11,,,,,
Kacie,Barlow,B010,0,ABsp,Seed,1,,,,,
Kacie,Barlow,B010,0,ACMA,Seed,7,,,,,
Kacie,Barlow,B010,0,ALRU,Seed,1,,,,,
Kacie,Barlow,B010,0,THPL,Cone,12,,,,,
Kai,Barlow,B42,0,TSHE,Seed,2,,,,,
Kai,Barlow,B42,0,PSME,Seed,3,,,,,
Kai,Barlow,B42,0,ACMA,Seed,1,,,,,
Kai,Barlow,B42,0,ALRU,Seed,2,,,,,
Kai,Barlow,B011,0,TSHE,Seed,5,,,,,
Kai,Barlow,B011,0,PSME,Seed,1,,,,,
Kai,Barlow,B011,0,THPL,Seed,1,,,,,
Kai,Barlow,B011,0,ABsp,Seed,1,,,,,
Kai,Barlow,B011,0,ACMA,Seed,1,,,,,
Kai,Barlow,B011,0,ALRU,Seed,1,,,,,
Kai,Barlow,B011,0,TSHE,Cone,1,,,,,
Kai,Barlow,B011,0,THPL,Cone,1,,,,,
Kacie,Barlow,B14,0,PSME,Seed,9,,,,,
Kacie,Barlow,B14,0,THPL,Seed,3,,,,,
Kacie,Barlow,B14,0,ABsp,Seed,8,,,,,
Kacie,Barlow,B14,0,THPL,Cone,5,,,,,
Kai,Barlow,B013,0,TSHE,Seed,4,,,,,
Kai,Barlow,B013,0,PSME,Seed,7,,,,,
Kai,Barlow,B013,0,THPL,Seed,2,,,,,
Kai,Barlow,B013,0,ABsp,Seed,1,,,,,
Kai,Barlow,B013,0,ACMA,Seed,10,,,,,
Kai,Barlow,B013,0,ALRU,Seed,2,,,,,
Kai,Barlow,B013,0,TSHE,Cone,2,,,,,
Kai,Barlow,B013,0,THPL,Cone,3,,,,,
Kacie,Forest Park,F45,1,ACMA,Seed,30,,,,,
Mila,Forest Park,F49,1,THPL,Seed,3,,,,,
Mila,Forest Park,F49,1,ACMA,Seed,50,,,,,
Mila,Forest Park,F49,1,THPL,Cone,2,,,,,
Kacie,Forest Park,F43,1,THPL,Seed,1,,,,,
Kacie,Forest Park,F43,1,ACMA,Seed,8,,,,,
Kacie,Forest Park,F43,1,TSHE,Cone,1,2 PSME cone scales,,,,
Kai,Forest Park,F47,1,PSME,Seed,1,,,,,
Kai,Forest Park,F47,1,ABsp,Seed,1,,,,,
Kai,Forest Park,F47,1,ACMA,Seed,10,,,,,
Kai,Forest Park,F48,1,PSME,Seed,1,,,,,
Kai,Forest Park,F48,1,THPL,Seed,1,,,,,
Kai,Forest Park,F48,1,ABsp,Seed,1,,,,,
Kai,Forest Park,F48,1,ACMA,Seed,80,,,,,
Kai,Forest Park,F48,1,ALVI,Seed,2,,,,,
Kai,Forest Park,F44,1,PSME,Seed,1,,,,,
Kai,Forest Park,F44,1,ACMA,Seed,21,,,,,
Kai,Forest Park,F44,1,ALRU,Seed,21,,,,,
Kacie,Lacamas,L22,1,TSHE,Seed,1,,,,,
Kacie,Lacamas,L22,1,ABsp,Seed,2,,,,,
Kacie,Lacamas,L22,1,ACMA,Seed,16,,,,,
Kacie,Lacamas,L22,1,ALVI,Seed,1,,,,,
Mila,Lacamas,L41,1,THPL,Seed,1,,,,,
Mila,Lacamas,L41,1,ACMA,Seed,2,,,,,
Mila,Lacamas,L41,1,ALRU,Seed,1,,,,,
Mila,Lacamas,L41,1,Unknown,Seed,1,"""Unknown seed is the size ? TSHE. Black hard coating i soft white fizz inside""",,,,
Mila,Lacamas,L12,1,TSHE,Seed,2,,,,,
Mila,Lacamas,L12,1,PSME,Seed,2,,,,,
Mila,Lacamas,L12,1,ACMA,Seed,13,,,,,
Mila,Lacamas,L12,1,ALRU,Seed,2,,,,,
Mila,Lacamas,L12,1,THPL,Cone,2,,,,,
Kai,Lacamas,L33,1,TSHE,Seed,1,,,,,
Kai,Lacamas,L33,1,PSME,Seed,3,,,,,
Kai,Lacamas,L33,1,ABsp,Seed,1,,,,,
Kai,Lacamas,L33,1,ACMA,Seed,15,,,,,
Kacie,Lacamas,L7,1,PSME,Seed,1,,,,,
Kacie,Lacamas,L7,1,ACMA,Seed,1,,,,,
Kacie,Lacamas,L7,1,ACCI,Seed,1,,,,,
Kacie,Lacamas,L7,1,ALRU,Seed,3,,,,,
Kai,Lacamas,L5,1,TSHE,Seed,4,,,,,
Kai,Lacamas,L5,1,PSME,Seed,1,,,,,
Kai,Lacamas,L5,1,ACMA,Seed,4,,,,,
Kai,Lacamas,L5,1,ALRU,Seed,54,,,,,
Kai,Lacamas,L5,1,THPL,Cone,5,,,,,
Mila,Marquam,MA35,1,ACMA,Seed,47,,,,,
Mila,Marquam,MA35,1,ALRU,Seed,2,,,,,
Kai,Marquam,MA30,1,ACMA,Seed,23,,,,,
Kai,Marquam,MA30,1,ALRU,Seed,67,,,,,
Kai,Marquam,MA30,1,ALVI,Seed,1,,,,,
Kai,Marquam,MA30,1,ALRU,Cone,3,,,,,
