SiteName,Urban,PlotID,species,age,count,morph
Barlow,rural,1,TSHE,g,17,con
Marquam,urban,1,TSHE,g,0,con
Tryon,urban,1,TSHE,g,0,con
Wildwood,rural,1,TSHE,g,0,con
Barlow,rural,2,TSHE,g,3,con
Riverview,urban,2,TSHE,g,0,con
Barlow,rural,3,TSHE,g,4,con
ForestPark,urban,3,TSHE,g,0,con
McIver,rural,3,TSHE,g,0,con
Wildwood,rural,3,TSHE,g,0,con
Barlow,rural,4,TSHE,g,0,con
Marquam,urban,4,TSHE,g,0,con
Riverview,urban,4,TSHE,g,0,con
Riverview,urban,4,TSHE,g,1,con
Marquam,urban,5,TSHE,g,0,con
McIver,rural,5,TSHE,g,0,con
Riverview,urban,5,TSHE,g,0,con
Marquam,urban,6,TSHE,g,0,con
Riverview,urban,6,TSHE,g,0,con
Barlow,rural,7,TSHE,g,1,con
Lacamas,urban,7,TSHE,g,0,con
Riverview,urban,7,TSHE,g,0,con
ForestPark,urban,8,TSHE,g,0,con
Lacamas,urban,8,TSHE,g,0,con
Tryon,urban,8,TSHE,g,0,con
Barlow,rural,10,TSHE,g,0,con
Lacamas,urban,10,TSHE,g,0,con
Marquam,urban,10,TSHE,g,0,con
Oxbow,rural,10,TSHE,g,0,con
Oxbow,rural,11,TSHE,g,0,con
Barlow,rural,11,TSHE,g,5,con
ForestPark,urban,11,TSHE,g,0,con
Marquam,urban,11,TSHE,g,0,con
Riverview,urban,11,TSHE,g,0,con
ForestPark,urban,12,TSHE,g,0,con
Lacamas,urban,12,TSHE,g,0,con
McIver,rural,12,TSHE,g,5,con
Oxbow,rural,12,TSHE,g,0,con
Barlow,rural,13,TSHE,g,0,con
ForestPark,urban,13,TSHE,g,0,con
Lacamas,urban,13,TSHE,g,0,con
Tryon,urban,13,TSHE,g,0,con
Barlow,rural,14,TSHE,g,0,con
ForestPark,urban,14,TSHE,g,0,con
Lacamas,urban,14,TSHE,g,0,con
Marquam,urban,14,TSHE,g,0,con
ForestPark,urban,15,TSHE,g,0,con
ForestPark,urban,15,TSHE,g,0,con
McIver,rural,15,TSHE,g,0,con
Riverview,urban,15,TSHE,g,1,con
Tryon,urban,15,TSHE,g,0,con
Barlow,rural,16,TSHE,g,0,con
Tryon,urban,16,TSHE,g,0,con
Lacamas,urban,17,TSHE,g,0,con
McIver,rural,18,TSHE,g,0,con
Oxbow,rural,18,TSHE,g,1,con
Riverview,urban,18,TSHE,g,0,con
Tryon,urban,18,TSHE,g,0,con
Wildwood,rural,18,TSHE,g,1,con
ForestPark,urban,19,TSHE,g,0,con
Barlow,rural,20,TSHE,g,1,con
Lacamas,urban,20,TSHE,g,0,con
McIver,rural,20,TSHE,g,0,con
Riverview,urban,20,TSHE,g,0,con
Riverview,urban,20,TSHE,g,0,con
Lacamas,urban,21,TSHE,g,0,con
Riverview,urban,21,TSHE,g,1,con
Tryon,urban,21,TSHE,g,1,con
Marquam,urban,22,TSHE,g,0,con
Tryon,urban,23,TSHE,g,0,con
Wildwood,rural,23,TSHE,g,0,con
Barlow,rural,24,TSHE,g,9,con
ForestPark,urban,24,TSHE,g,0,con
Riverview,urban,24,TSHE,g,0,con
Wildwood,rural,24,TSHE,g,10,con
Barlow,rural,25,TSHE,g,11,con
Marquam,urban,25,TSHE,g,0,con
Riverview,urban,25,TSHE,g,2,con
McIver,rural,26,TSHE,g,0,con
Sandy,rural,26,TSHE,g,0,con
Barlow,rural,27,TSHE,g,0,con
Tryon,urban,27,TSHE,g,0,con
Oxbow,rural,28,TSHE,g,0,con
Tryon,urban,28,TSHE,g,0,con
Lacamas,urban,29,TSHE,g,0,con
Oxbow,rural,29,TSHE,g,0,con
Tryon,urban,29,TSHE,g,0,con
Barlow,rural,30,TSHE,g,1,con
ForestPark,urban,30,TSHE,g,1,con
Riverview,urban,30,TSHE,g,0,con
Tryon,urban,30,TSHE,g,0,con
Marquam,urban,31,TSHE,g,0,con
McIver,rural,31,TSHE,g,1,con
Tryon,urban,31,TSHE,g,0,con
Marquam,urban,32,TSHE,g,0,con
Oxbow,rural,32,TSHE,g,0,con
Lacamas,urban,35,TSHE,g,0,con
Marquam,urban,35,TSHE,g,0,con
Oxbow,rural,35,TSHE,g,0,con
Wildwood,rural,35,TSHE,g,2,con
ForestPark,urban,36,TSHE,g,5,con
Tryon,urban,36,TSHE,g,0,con
Wildwood,rural,37,TSHE,g,0,con
Oxbow,rural,38,TSHE,g,0,con
Lacamas,urban,39,TSHE,g,0,con
ForestPark,urban,40,TSHE,g,0,con
Oxbow,rural,40,TSHE,g,0,con
Tryon,urban,40,TSHE,g,0,con
Wildwood,rural,40,TSHE,g,7,con
McIver,rural,41,TSHE,g,6,con
Lacamas,urban,43,TSHE,g,0,con
Oxbow,rural,43,TSHE,g,0,con
ForestPark,urban,45,TSHE,g,3,con
Oxbow,rural,45,TSHE,g,0,con
Oxbow,rural,46,TSHE,g,0,con
Lacamas,urban,47,TSHE,g,0,con
Marquam,urban,47,TSHE,g,0,con
Oxbow,rural,47,TSHE,g,0,con
Marquam,urban,48,TSHE,g,0,con
Oxbow,rural,48,TSHE,g,1,con
Sandy,rural,48,TSHE,g,0,con
ForestPark,urban,49,TSHE,g,0,con
Lacamas,urban,50,TSHE,g,0,con
Marquam,urban,50,TSHE,g,0,con
McIver,rural,51,TSHE,g,3,con
Sandy,rural,53,TSHE,g,0,con
McIver,rural,56,TSHE,g,0,con
McIver,rural,57,TSHE,g,4,con
McIver,rural,61,TSHE,g,0,con
Wildwood,rural,61,TSHE,g,0,con
McIver,rural,63,TSHE,g,0,con
Wildwood,rural,67,TSHE,g,0,con
Wildwood,rural,69,TSHE,g,0,con
Wildwood,rural,74,TSHE,g,0,con
McIver,rural,75,TSHE,g,0,con
Sandy,rural,80,TSHE,g,0,con
Sandy,rural,82,TSHE,g,3,con
Sandy,rural,83,TSHE,g,0,con
Wildwood,rural,83,TSHE,g,0,con
Wildwood,rural,87,TSHE,g,2,con
Wildwood,rural,88,TSHE,g,0,con
Sandy,rural,95,TSHE,g,0,con
Sandy,rural,111,TSHE,g,0,con
Sandy,rural,122,TSHE,g,0,con
Sandy,rural,128,TSHE,g,0,con
Sandy,rural,136,TSHE,g,0,con
Sandy,rural,141,TSHE,g,0,con
Sandy,rural,159,TSHE,g,1,con
Sandy,rural,176,TSHE,g,0,con
Sandy,rural,181,TSHE,g,0,con
Barlow,rural,1,PSME,g,0,con
Marquam,urban,1,PSME,g,0,con
Tryon,urban,1,PSME,g,0,con
Wildwood,rural,1,PSME,g,0,con
Barlow,rural,2,PSME,g,0,con
Riverview,urban,2,PSME,g,0,con
Barlow,rural,3,PSME,g,0,con
ForestPark,urban,3,PSME,g,0,con
McIver,rural,3,PSME,g,0,con
Wildwood,rural,3,PSME,g,0,con
Barlow,rural,4,PSME,g,0,con
Marquam,urban,4,PSME,g,0,con
Riverview,urban,4,PSME,g,0,con
Riverview,urban,4,PSME,g,0,con
Marquam,urban,5,PSME,g,1,con
McIver,rural,5,PSME,g,0,con
Riverview,urban,5,PSME,g,0,con
Marquam,urban,6,PSME,g,0,con
Riverview,urban,6,PSME,g,0,con
Barlow,rural,7,PSME,g,0,con
Lacamas,urban,7,PSME,g,0,con
Riverview,urban,7,PSME,g,0,con
ForestPark,urban,8,PSME,g,0,con
Lacamas,urban,8,PSME,g,0,con
Tryon,urban,8,PSME,g,0,con
Barlow,rural,10,PSME,g,0,con
Lacamas,urban,10,PSME,g,0,con
Marquam,urban,10,PSME,g,0,con
Oxbow,rural,10,PSME,g,0,con
Oxbow,rural,11,PSME,g,0,con
Barlow,rural,11,PSME,g,0,con
ForestPark,urban,11,PSME,g,0,con
Marquam,urban,11,PSME,g,0,con
Riverview,urban,11,PSME,g,0,con
ForestPark,urban,12,PSME,g,0,con
Lacamas,urban,12,PSME,g,0,con
McIver,rural,12,PSME,g,0,con
Oxbow,rural,12,PSME,g,1,con
Barlow,rural,13,PSME,g,0,con
ForestPark,urban,13,PSME,g,0,con
Lacamas,urban,13,PSME,g,0,con
Tryon,urban,13,PSME,g,0,con
Barlow,rural,14,PSME,g,0,con
ForestPark,urban,14,PSME,g,0,con
Lacamas,urban,14,PSME,g,3,con
Marquam,urban,14,PSME,g,0,con
ForestPark,urban,15,PSME,g,0,con
ForestPark,urban,15,PSME,g,4,con
McIver,rural,15,PSME,g,0,con
Riverview,urban,15,PSME,g,0,con
Tryon,urban,15,PSME,g,0,con
Barlow,rural,16,PSME,g,0,con
Tryon,urban,16,PSME,g,0,con
Lacamas,urban,17,PSME,g,0,con
McIver,rural,18,PSME,g,1,con
Oxbow,rural,18,PSME,g,1,con
Riverview,urban,18,PSME,g,0,con
Tryon,urban,18,PSME,g,0,con
Wildwood,rural,18,PSME,g,0,con
ForestPark,urban,19,PSME,g,0,con
Barlow,rural,20,PSME,g,0,con
Lacamas,urban,20,PSME,g,0,con
McIver,rural,20,PSME,g,0,con
Riverview,urban,20,PSME,g,0,con
Riverview,urban,20,PSME,g,0,con
Lacamas,urban,21,PSME,g,0,con
Riverview,urban,21,PSME,g,0,con
Tryon,urban,21,PSME,g,0,con
Marquam,urban,22,PSME,g,0,con
Tryon,urban,23,PSME,g,0,con
Wildwood,rural,23,PSME,g,0,con
Barlow,rural,24,PSME,g,0,con
ForestPark,urban,24,PSME,g,0,con
Riverview,urban,24,PSME,g,0,con
Wildwood,rural,24,PSME,g,0,con
Barlow,rural,25,PSME,g,0,con
Marquam,urban,25,PSME,g,0,con
Riverview,urban,25,PSME,g,0,con
McIver,rural,26,PSME,g,0,con
Sandy,rural,26,PSME,g,0,con
Barlow,rural,27,PSME,g,0,con
Tryon,urban,27,PSME,g,2,con
Oxbow,rural,28,PSME,g,1,con
Tryon,urban,28,PSME,g,0,con
Lacamas,urban,29,PSME,g,0,con
Oxbow,rural,29,PSME,g,1,con
Tryon,urban,29,PSME,g,0,con
Barlow,rural,30,PSME,g,0,con
ForestPark,urban,30,PSME,g,0,con
Riverview,urban,30,PSME,g,0,con
Tryon,urban,30,PSME,g,0,con
Marquam,urban,31,PSME,g,0,con
McIver,rural,31,PSME,g,0,con
Tryon,urban,31,PSME,g,1,con
Marquam,urban,32,PSME,g,0,con
Oxbow,rural,32,PSME,g,0,con
Lacamas,urban,35,PSME,g,0,con
Marquam,urban,35,PSME,g,0,con
Oxbow,rural,35,PSME,g,0,con
Wildwood,rural,35,PSME,g,0,con
ForestPark,urban,36,PSME,g,2,con
Tryon,urban,36,PSME,g,0,con
Wildwood,rural,37,PSME,g,0,con
Oxbow,rural,38,PSME,g,0,con
Lacamas,urban,39,PSME,g,0,con
ForestPark,urban,40,PSME,g,0,con
Oxbow,rural,40,PSME,g,1,con
Tryon,urban,40,PSME,g,0,con
Wildwood,rural,40,PSME,g,0,con
McIver,rural,41,PSME,g,2,con
Lacamas,urban,43,PSME,g,1,con
Oxbow,rural,43,PSME,g,0,con
ForestPark,urban,45,PSME,g,0,con
Oxbow,rural,45,PSME,g,0,con
Oxbow,rural,46,PSME,g,0,con
Lacamas,urban,47,PSME,g,0,con
Marquam,urban,47,PSME,g,0,con
Oxbow,rural,47,PSME,g,0,con
Marquam,urban,48,PSME,g,0,con
Oxbow,rural,48,PSME,g,1,con
Sandy,rural,48,PSME,g,0,con
ForestPark,urban,49,PSME,g,0,con
Lacamas,urban,50,PSME,g,0,con
Marquam,urban,50,PSME,g,0,con
McIver,rural,51,PSME,g,1,con
Sandy,rural,53,PSME,g,0,con
McIver,rural,56,PSME,g,0,con
McIver,rural,57,PSME,g,0,con
McIver,rural,61,PSME,g,0,con
Wildwood,rural,61,PSME,g,0,con
McIver,rural,63,PSME,g,0,con
Wildwood,rural,67,PSME,g,0,con
Wildwood,rural,69,PSME,g,0,con
Wildwood,rural,74,PSME,g,0,con
McIver,rural,75,PSME,g,4,con
Sandy,rural,80,PSME,g,0,con
