Date,Urban,Forest,Transect ID,Length (cm),Half circumference (cm),Half circumference (cm),Half circumference (cm),AvgCircumference,SA,Wire depth (cm),Wire depth (cm),Wire depth (cm),AvgDepth,Decay class,No. seedlings,Species of seedlings,
10/26/2021,0,McIver,41,390,35,35,33,34.33333333,13390,0,0,0,0,1,0,0,
10/26/2021,0,McIver,41,380,80,90,95,88.33333333,33566.66667,7,6,13,8.666666667,3,0,0,
10/26/2021,0,McIver,41,320,35,40,55,43.33333333,13866.66667,15,14,10,13,3,0,0,
10/26/2021,0,McIver,20,500,120,130,140,130,65000,7,8,20,11.66666667,3,0,0,
10/26/2021,0,McIver,20,500,60,90,80,76.66666667,38333.33333,12,15,20,15.66666667,3,0,0,
10/26/2021,0,McIver,20,260,34,35,40,36.33333333,9446.666667,2,2,2,2,2,0,0,
10/26/2021,0,McIver,24,680,60,80,85,75,51000,16,9,14,13,2,2 smsub,ACCI,
10/26/2021,0,McIver,24,590,85,90,75,83.33333333,49166.66667,33,7,28,22.66666667,3,0,0,
10/26/2021,0,McIver,24,550,170,150,140,153.3333333,84333.33333,3,10,31,14.66666667,4,1 CAN,TSHE,
10/26/2021,0,McIver,24,230,35,85,65,61.66666667,14183.33333,5,2,2,3,3,0,0,
10/26/2021,0,McIver,24,365,50,60,40,50,18250,20,10,21,17,5,0,0,
10/26/2021,0,McIver,24,490,40,45,45,43.33333333,21233.33333,4,5,7,5.333333333,3,0,0,
10/26/2021,0,McIver,25,440,35,60,60,51.66666667,22733.33333,23,5,17,15,2,0,0,
10/26/2021,0,McIver,25,300,50,50,50,50,15000,0,0,0,0,1,0,0,
10/26/2021,0,McIver,38,140,45,35,27,35.66666667,4993.333333,0,0,0,0,1,0,0,
10/26/2021,0,McIver,90,640,35,35,34,34.66666667,22186.66667,0,0,0,0,1,0,0,
10/26/2021,0,McIver,90,580,35,30,35,33.33333333,19333.33333,0,0,0,0,1,0,0,
10/26/2021,0,McIver,90,640,22,22,22,22,14080,0,0,0,0,1,0,0,
10/26/2021,0,McIver,90,520,70,45,37,50.66666667,26346.66667,13,0,6,6.333333333,2,0,0,
10/26/2021,0,McIver,90,760,35,30,25,30,22800,0,0,0,0,1,0,0,
10/26/2021,0,McIver,90,350,30,22,25,25.66666667,8983.333333,0,0,0,0,1,0,0,
10/26/2021,0,McIver,16,110,80,85,85,83.33333333,9166.666667,0,0,2,0.6666666667,3,0,0,
10/26/2021,0,McIver,16,230,70,55,65,63.33333333,14566.66667,25,3,11,13,3,0,0,
10/26/2021,0,McIver,44,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/26/2021,0,McIver,70,0,0,0,0,0,0,0,0,0,0,0,0,0,
10/19/2021,0,Barlow,3,460,55,60,55,56.66666667,26066.66667,3,6,2,3.666666667,2,0,0,
10/19/2021,0,Barlow,3,870,62,70,45,59,51330,9,4,2,5,2,0,0,
